Channel,Num_Videos,Total_Duration_Hours,Total_Views,Total_Likes,Total_Favorites,Total_Comments
Google Cloud,2944,558.4397222222223,103090066,239518,0,5279
AT&T Tech Channel,543,101.77472222222222,231477,6435,0,639
Cognizant,1245,105.78583333333333,19652114,19257,0,11
Comcast Technology Solutions,51,7.759166666666666,3719,38,0,1
HPE,2070,422.8261111111111,15047786,23362,0,1016
NVIDIA,749,108.6125,329002018,1298177,0,844
Verizon Business,149,6.345833333333333,564518,1034,0,0
Micron Technology,268,33.783055555555556,2096233,9730,0,71
CDW,550,39.401666666666664,11279735,2302,0,83
Kyndryl,118,9.576944444444445,157113,2845,0,0
Supermicro,430,55.14805555555556,153722052,207536,0,842
Concentrix,284,39.522777777777776,403252,1561,0,9
Microsoft Azure,2106,345.0519444444444,66729099,244328,0,2858
Microsoft 365 Developer,879,295.82666666666665,3926938,31872,0,1899
Oracle,3499,684.0775,22367495,96252,0,4542
Java,909,276.07472222222225,10899799,422234,0,18464
Amazon Web Services,8798,1105.255,131497792,572840,0,28145
AWS Developers,1162,560.1138888888889,19145360,197555,0,3446
Google Cloud Tech,1782,266.1980555555556,42310214,705621,0,23566
IBM Technology,1201,195.4386111111111,83072783,1824959,0,51504
